city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
angulo,3,294.7,99.36,3,0,-17.81471836419753,3,4.333333333333333,0.0,0.0,0.0,0.33715643026806924
angustura,1,139.0,27.29,1,0,-1.4067939814814814,1,5.0,0.0,0.0,0.0,0.19633093525179857
anhandui,1,69.0,14.23,1,0,-11.220347222222221,1,5.0,0.0,0.0,0.0,0.20623188405797102
anhembi,1,106.9,13.19,1,0,-7.005474537037037,1,5.0,0.0,0.0,0.0,0.12338634237605238
anhumas,1,58.99,13.43,1,0,-15.197511574074074,1,5.0,0.0,0.0,0.0,0.2276657060518732
anicuns,8,661.9300000000001,147.26,8,1,-14.651099537037037,8,4.625,0.0,12.5,0.0,0.22247065399664614
anita garibaldi,5,256.78,129.15,5,0,-8.547416666666667,5,3.8,1.0,0.0,20.0,0.5029597320663604
anitapolis,2,608.99,33.39,2,0,-4.83421875,2,5.0,0.0,0.0,0.0,0.05482848651045173
anta,4,241.88,49.65,3,0,-20.73567901234568,4,4.0,1.0,0.0,25.0,0.20526707458243756
anta gorda,4,577.7,77.55,4,0,-15.571608796296296,4,4.25,1.0,0.0,25.0,0.13423922451099185
antonina,10,2077.57,207.82999999999998,10,0,-14.532864583333332,8,4.625,0.0,0.0,0.0,0.10003513720355992
antonina do norte,1,76.8,53.78,1,0,-4.164097222222222,1,1.0,1.0,0.0,100.0,0.7002604166666667
antonio cardoso,2,369.89,70.03,2,0,-6.606851851851852,2,3.5,1.0,0.0,50.0,0.18932655654383737
antonio carlos,3,245.70000000000002,48.449999999999996,3,0,-15.357152777777777,3,4.333333333333333,0.0,0.0,0.0,0.19719169719169716
antonio goncalves,1,34.9,16.79,1,0,-14.37295138888889,1,5.0,0.0,0.0,0.0,0.4810888252148997
antonio martins,1,45.0,52.67,1,1,0.8608912037037038,1,4.0,0.0,100.0,0.0,1.1704444444444444
antonio pereira,2,88.99000000000001,33.33,2,1,-0.22031250000000013,2,3.5,1.0,50.0,50.0,0.3745364647713226
antonio prado,5,554.2,113.37,5,0,-10.121546296296296,5,3.6,1.0,0.0,20.0,0.20456513893901118
antonio prado de minas,3,282.0,52.21,3,0,-14.276439043209876,3,3.0,1.0,0.0,33.33333333333333,0.18514184397163122
antunes,1,119.8,15.59,1,0,-10.482962962962963,1,4.0,0.0,0.0,0.0,0.13013355592654424
aparecida,25,3740.96,467.95,25,2,-11.73199398148148,25,4.36,2.0,8.0,8.0,0.12508821265129805
aparecida d'oeste,1,19.9,11.85,1,0,-9.17875,1,5.0,0.0,0.0,0.0,0.5954773869346733
aparecida de goiania,110,14554.460000000001,2437.78,105,9,-11.699867945326279,110,4.027272727272727,14.0,8.571428571428571,12.727272727272727,0.16749367547816957
aparecida de monte alto,1,179.9,19.36,1,0,-2.029537037037037,1,5.0,0.0,0.0,0.0,0.10761534185658699
aparecida de sao manuel,2,226.3,30.490000000000002,2,0,-24.647123842592595,2,5.0,0.0,0.0,0.0,0.1347326557666814
aparecida do rio negro,1,115.0,57.58,1,0,-15.064004629629629,1,5.0,0.0,0.0,0.0,0.500695652173913
aparecida do taboado,7,2531.9,236.69,7,1,-8.184249338624339,7,4.285714285714286,1.0,14.285714285714285,14.285714285714285,0.09348315494292823
aperibe,13,1464.94,370.96999999999997,12,2,-11.964808063271605,13,3.769230769230769,4.0,16.666666666666664,30.76923076923077,0.2532322142886398
apiaca,6,434.28,100.14,6,0,-17.899498456790123,6,4.666666666666667,0.0,0.0,0.0,0.23058856037579442
apiacas,1,28.99,22.13,0,0,,1,5.0,0.0,,0.0,0.7633666781648845
apiai,6,547.5699999999999,167.37,6,1,-10.739668209876543,6,4.333333333333333,1.0,16.666666666666664,16.666666666666664,0.3056595503771208
apiuna,7,1320.6,164.2,7,0,-14.607863756613757,7,3.857142857142857,1.0,0.0,14.285714285714285,0.12433742238376495
apodi,3,377.89,114.18,3,2,7.132766203703704,3,3.3333333333333335,1.0,66.66666666666666,33.33333333333333,0.3021514197253169
apora,1,44.9,20.8,1,1,12.6446875,1,5.0,0.0,100.0,0.0,0.4632516703786192
apore,1,134.64,62.74,1,0,-16.02320601851852,1,5.0,0.0,0.0,0.0,0.4659833630421866
apuarema,1,169.99,34.39,1,0,-41.516840277777774,1,4.0,0.0,0.0,0.0,0.20230601800105888
apucarana,52,7283.7,1527.2,51,3,-11.999303286129265,52,4.326923076923077,5.0,5.88235294117647,9.615384615384617,0.20967365487321005
apuiares,2,339.89,81.67,2,0,-14.681846064814813,2,5.0,0.0,0.0,0.0,0.24028362117155552
aquidaba,1,89.0,24.55,1,0,-6.371423611111111,1,5.0,0.0,0.0,0.0,0.2758426966292135
aquidauana,4,197.7,70.39,3,0,-15.226277006172841,4,4.0,1.0,0.0,25.0,0.35604451188669706
aquiraz,2,428.99,49.66,1,0,-18.476875,2,3.0,1.0,0.0,50.0,0.11576027413226414
aracaju,225,36507.8,8091.0,213,29,-9.524329573117718,225,3.7466666666666666,52.0,13.615023474178404,23.11111111111111,0.2216238721588263
aracariguama,10,759.75,177.32,8,0,-13.429445891203702,10,3.9,2.0,0.0,20.0,0.233392563343205
